Capture,n_obs,n_consistent,n_inconsistent,frac_consistent,largest_jump,max_jump_in_24h,Species
F001,740,739,1,0.998648648648649,1,8,Bull Trout
F098,2985,2981,4,0.998659966499162,2,4,Bull Trout
F099,21,21,0,1,-1,2,Bull Trout
F137,4440,4423,17,0.996171171171171,2,4,Bull Trout
F138,5635,5635,0,1,0,2,Bull Trout
F139,4126,4123,3,0.999272903538536,2,4,Bull Trout
F140,5133,5133,0,1,-1,0,Bull Trout
F141,2519,2519,0,1,-1,2,Bull Trout
F142,4096,4094,2,0.99951171875,1,4,Bull Trout
F143,31,31,0,1,-1,2,Bull Trout
F145,4244,4243,1,0.999764373232799,1,4,Bull Trout
F146,2104,2103,1,0.999524714828897,1,6,Bull Trout
F147,2429,2429,0,1,0,4,Bull Trout
F148,2792,2782,10,0.996418338108882,2,4,Bull Trout
F149,3593,3593,0,1,-1,0,Bull Trout
F150,2800,2800,0,1,-1,0,Bull Trout
F151,915,915,0,1,-1,0,Bull Trout
F152,279,279,0,1,0,4,Bull Trout
F153,3421,3420,1,0.999707687810582,1,2,Bull Trout
F154,3338,3338,0,1,-1,2,Bull Trout
F155,1698,1698,0,1,0,2,Bull Trout
F156,4936,4936,0,1,-1,4,Bull Trout
F428,772,772,0,1,0,4,Bull Trout
F429,1967,1967,0,1,0,2,Bull Trout
F430,609,609,0,1,-1,2,Bull Trout
F431,1651,1650,1,0.999394306480921,1,2,Bull Trout
F432,1845,1845,0,1,-1,2,Bull Trout
F433,1983,1983,0,1,0,2,Bull Trout
F434,2453,2452,1,0.999592335915206,2,2,Bull Trout
F436,2104,2104,0,1,0,4,Bull Trout
F437,1529,1529,0,1,-1,0,Bull Trout
F438,1734,1730,4,0.997693194925029,2,7,Bull Trout
F439,1148,1148,0,1,-1,4,Bull Trout
F440,1528,1528,0,1,-1,2,Bull Trout
F441,808,808,0,1,-1,0,Bull Trout
F442,2758,2758,0,1,-1,2,Bull Trout
F492,3057,3053,4,0.998691527641479,1,4,Bull Trout
F576,54,54,0,1,0,6,Bull Trout
F582,81,76,5,0.938271604938272,1,6,Bull Trout
F630,114,114,0,1,0,1,Bull Trout
F631,204,204,0,1,0,4,Bull Trout
F667,147,146,1,0.993197278911565,1,7,Bull Trout
F002,4595,4398,197,0.957127312295974,4,4,Lake Trout
F003,2307,2285,22,0.990463805808409,4,4,Lake Trout
F004,3864,3862,2,0.999482401656315,3,4,Lake Trout
F006,3729,3716,13,0.996513810673103,4,4,Lake Trout
F007,1111,1111,0,1,-1,1,Lake Trout
F009,3189,3189,0,1,-1,0,Lake Trout
F014,2800,2788,12,0.995714285714286,1,4,Lake Trout
F015,3394,3393,1,0.999705362404243,1,2,Lake Trout
F020,5459,5319,140,0.974354277340172,3,5,Lake Trout
F021,2508,2508,0,1,-1,3,Lake Trout
F022,1722,1721,1,0.999419279907085,1,5,Lake Trout
F032,5894,5696,198,0.966406515100102,2,4,Lake Trout
F034,2060,2060,0,1,-1,0,Lake Trout
F035,4820,4749,71,0.985269709543569,2,3,Lake Trout
F043,3954,3944,10,0.997470915528579,1,3,Lake Trout
F046,2283,2280,3,0.998685939553219,1,4,Lake Trout
F049,4522,4489,33,0.992702344095533,2,3,Lake Trout
F069,10746,10745,1,0.999906942117997,1,4,Lake Trout
F070,1935,1901,34,0.982428940568475,2,4,Lake Trout
F080,1946,1897,49,0.974820143884892,2,4,Lake Trout
F082,6296,5449,847,0.865470139771283,2,3,Lake Trout
F084,3193,3149,44,0.986219855934858,2,4,Lake Trout
F073,1793,1792,1,0.999442275515895,1,3,Lake Trout
F074,4650,4643,7,0.998494623655914,1,1,Lake Trout
F078,3652,3610,42,0.988499452354874,1,3,Lake Trout
F087,4391,4362,29,0.993395581872011,3,4,Lake Trout
F095,4167,4093,74,0.982241420686345,1,3,Lake Trout
F102,6906,6906,0,1,-1,1,Lake Trout
F103,6066,6057,9,0.998516320474777,1,1,Lake Trout
F109,1029,1029,0,1,-1,1,Lake Trout
F111,3837,3779,58,0.984884023977065,2,3,Lake Trout
F134,3114,3114,0,1,-1,2,Lake Trout
F163,5541,5486,55,0.990073993863923,2,3,Lake Trout
F165,5688,5686,2,0.999648382559775,2,2,Lake Trout
F261,4437,4082,355,0.919990984899707,4,4,Lake Trout
F262,1701,1700,1,0.999412110523222,3,3,Lake Trout
F263,2983,2969,14,0.995306738183037,3,4,Lake Trout
F264,5123,5101,22,0.995705641225844,3,3,Lake Trout
F265,2380,2258,122,0.948739495798319,4,4,Lake Trout
F260,5098,4631,467,0.908395449195763,4,4,Lake Trout
F266,2373,2373,0,1,-1,0,Lake Trout
F267,1954,1954,0,1,-1,1,Lake Trout
F269,195,195,0,1,-1,0,Lake Trout
F270,3858,3844,14,0.996371176775531,4,4,Lake Trout
F272,300,300,0,1,-1,0,Lake Trout
F273,498,498,0,1,-1,0,Lake Trout
F289,3686,3677,9,0.99755832881172,1,2,Lake Trout
F295,3455,3423,32,0.990738060781476,2,2,Lake Trout
F297,4217,4092,125,0.970358074460517,2,2,Lake Trout
F343,2946,2681,265,0.910047522063815,2,4,Lake Trout
F345,1933,1926,7,0.996378685980341,4,4,Lake Trout
F357,2844,2844,0,1,-1,0,Lake Trout
F359,3094,3018,76,0.975436328377505,2,2,Lake Trout
F360,1119,1119,0,1,-1,1,Lake Trout
F361,2589,2553,36,0.986095017381228,2,2,Lake Trout
F362,2568,2564,4,0.998442367601246,2,2,Lake Trout
F364,2288,2287,1,0.999562937062937,1,2,Lake Trout
F385,5923,5880,43,0.992740165456694,4,4,Lake Trout
F380,5898,5729,169,0.971346219057308,4,4,Lake Trout
F573,441,441,0,1,-1,2,Lake Trout
F574,582,582,0,1,-1,5,Lake Trout
F575,633,633,0,1,-1,0,Lake Trout
F577,220,220,0,1,-1,1,Lake Trout
F580,188,182,6,0.968085106382979,1,1,Lake Trout
F583,360,360,0,1,-1,4,Lake Trout
F584,1120,1120,0,1,-1,4,Lake Trout
F585,1314,1314,0,1,-1,3,Lake Trout
F586,1441,1441,0,1,-1,0,Lake Trout
F591,509,509,0,1,-1,2,Lake Trout
F603,85,85,0,1,-1,1,Lake Trout
F619,600,600,0,1,-1,4,Lake Trout
F620,217,217,0,1,-1,0,Lake Trout
F613,395,395,0,1,-1,4,Lake Trout
F621,1049,1049,0,1,-1,4,Lake Trout
F623,256,256,0,1,-1,4,Lake Trout
F648,1857,1857,0,1,-1,1,Lake Trout
F703,142,142,0,1,-1,2,Lake Trout
F712,1,1,0,1,-1,0,Lake Trout
F023,2565,2564,1,0.999610136452242,1,3,Rainbow Trout
F038,2364,2364,0,1,-1,4,Rainbow Trout
F044,3958,3949,9,0.997726124305205,1,2,Rainbow Trout
F075,3675,3675,0,1,0,3,Rainbow Trout
F076,1036,1035,1,0.999034749034749,1,2,Rainbow Trout
F077,1571,1571,0,1,-1,3,Rainbow Trout
F094,1029,1029,0,1,-1,3,Rainbow Trout
F097,135,135,0,1,-1,1,Rainbow Trout
F104,3688,3659,29,0.992136659436009,1,3,Rainbow Trout
F107,1935,1935,0,1,-1,2,Rainbow Trout
F115,378,378,0,1,-1,2,Rainbow Trout
F131,1039,1039,0,1,-1,5,Rainbow Trout
F175,293,293,0,1,-1,3,Rainbow Trout
F176,2081,2080,1,0.999519461797213,1,2,Rainbow Trout
F184,1961,1961,0,1,-1,3,Rainbow Trout
F190,4183,4151,32,0.992349988046856,2,4,Rainbow Trout
F204,3300,3278,22,0.993333333333333,4,4,Rainbow Trout
F214,411,404,7,0.982968369829684,4,4,Rainbow Trout
F217,1324,1322,2,0.998489425981873,1,5,Rainbow Trout
F220,1315,1315,0,1,-1,5,Rainbow Trout
F223,1636,1636,0,1,0,3,Rainbow Trout
F227,943,943,0,1,-1,1,Rainbow Trout
F229,899,899,0,1,-1,4,Rainbow Trout
F230,808,808,0,1,-1,3,Rainbow Trout
F232,318,318,0,1,-1,3,Rainbow Trout
F233,719,719,0,1,-1,0,Rainbow Trout
F236,989,989,0,1,-1,3,Rainbow Trout
F237,2,2,0,1,-1,0,Rainbow Trout
F240,2216,2206,10,0.995487364620939,1,4,Rainbow Trout
F243,1191,1175,16,0.98656591099916,1,2,Rainbow Trout
F248,1085,1084,1,0.999078341013825,1,1,Rainbow Trout
F251,1475,1475,0,1,-1,0,Rainbow Trout
F258,177,177,0,1,-1,3,Rainbow Trout
F290,2989,2956,33,0.988959518233523,4,4,Rainbow Trout
F293,2651,2585,66,0.975103734439834,3,4,Rainbow Trout
F298,25,25,0,1,-1,0,Rainbow Trout
F306,667,667,0,1,-1,3,Rainbow Trout
F324,1786,1785,1,0.999440089585666,1,4,Rainbow Trout
F344,1948,1934,14,0.992813141683778,2,4,Rainbow Trout
F381,127,127,0,1,-1,1,Rainbow Trout
F395,2356,2342,14,0.994057724957555,3,4,Rainbow Trout
