Capture,n_obs,n_consistent,n_inconsistent,frac_consistent,largest_jump,max_jump_in_24h,Species
F001,576,575,1,0.998263888888889,1,8,Bull Trout
F098,2657,2654,3,0.998870907038013,2,4,Bull Trout
F099,16,16,0,1,-1,0,Bull Trout
F137,4015,4004,11,0.997260273972603,2,4,Bull Trout
F138,5128,5128,0,1,0,2,Bull Trout
F139,3733,3732,1,0.999732118939191,1,4,Bull Trout
F140,4692,4692,0,1,-1,0,Bull Trout
F141,2148,2148,0,1,-1,2,Bull Trout
F142,3821,3819,2,0.999476576812353,1,4,Bull Trout
F143,30,30,0,1,-1,2,Bull Trout
F145,4070,4070,0,1,0,4,Bull Trout
F146,1834,1834,0,1,-1,6,Bull Trout
F147,2000,2000,0,1,-1,4,Bull Trout
F148,2435,2428,7,0.997125256673511,2,4,Bull Trout
F149,3380,3380,0,1,-1,0,Bull Trout
F150,2674,2674,0,1,-1,0,Bull Trout
F151,865,865,0,1,-1,0,Bull Trout
F152,263,263,0,1,0,4,Bull Trout
F153,3167,3166,1,0.999684243763814,1,2,Bull Trout
F154,2916,2916,0,1,-1,0,Bull Trout
F155,1524,1524,0,1,0,2,Bull Trout
F156,4626,4626,0,1,-1,2,Bull Trout
F428,757,757,0,1,0,4,Bull Trout
F429,1620,1620,0,1,0,2,Bull Trout
F430,443,443,0,1,-1,2,Bull Trout
F431,1370,1369,1,0.999270072992701,1,2,Bull Trout
F432,1599,1599,0,1,-1,2,Bull Trout
F433,1743,1743,0,1,0,2,Bull Trout
F434,2254,2253,1,0.999556344276841,2,2,Bull Trout
F436,1849,1849,0,1,0,2,Bull Trout
F437,1279,1279,0,1,-1,0,Bull Trout
F438,1366,1363,3,0.997803806734993,1,7,Bull Trout
F439,990,990,0,1,-1,0,Bull Trout
F440,1294,1294,0,1,-1,2,Bull Trout
F441,573,573,0,1,-1,0,Bull Trout
F442,2447,2447,0,1,-1,0,Bull Trout
F492,3009,3006,3,0.999002991026919,1,4,Bull Trout
F576,48,48,0,1,0,6,Bull Trout
F582,68,65,3,0.955882352941177,1,6,Bull Trout
F630,110,110,0,1,0,1,Bull Trout
F631,191,191,0,1,0,4,Bull Trout
F667,142,142,0,1,-1,6,Bull Trout
F002,4202,4115,87,0.979295573536411,4,4,Lake Trout
F003,2073,2073,0,1,0,4,Lake Trout
F004,3462,3462,0,1,-1,4,Lake Trout
F006,3397,3388,9,0.997350603473653,4,4,Lake Trout
F007,979,979,0,1,-1,1,Lake Trout
F009,2519,2519,0,1,-1,0,Lake Trout
F014,2348,2346,2,0.999148211243612,1,4,Lake Trout
F015,3216,3216,0,1,0,2,Lake Trout
F020,4930,4863,67,0.986409736308316,3,5,Lake Trout
F021,2075,2075,0,1,-1,3,Lake Trout
F022,1450,1450,0,1,-1,5,Lake Trout
F032,5162,5060,102,0.980240216970167,2,4,Lake Trout
F034,1644,1644,0,1,-1,0,Lake Trout
F035,4367,4316,51,0.988321502175406,2,3,Lake Trout
F043,3535,3531,4,0.998868458274399,1,3,Lake Trout
F046,1943,1943,0,1,0,4,Lake Trout
F049,3849,3841,8,0.997921538061834,2,3,Lake Trout
F069,10436,10436,0,1,-1,4,Lake Trout
F070,1678,1661,17,0.989868891537545,1,4,Lake Trout
F080,1658,1633,25,0.984921592279855,2,2,Lake Trout
F082,5684,5116,568,0.900070372976777,2,3,Lake Trout
F084,2742,2711,31,0.988694383661561,1,4,Lake Trout
F073,1518,1517,1,0.999341238471673,1,3,Lake Trout
F074,4207,4206,1,0.999762300927026,1,1,Lake Trout
F078,3026,3017,9,0.997025776602776,1,3,Lake Trout
